Test,SimulationTime,CheckingTime,ComputationTime
10,0,0.03,0.14
100,0.01,67.30,68.16
20,0,0.27,0.39
30,0,1.05,1.17
40,0,2.75,2.90
50,0,5.91,6.10
60,0,11.07,11.21
70,0,12.65,12.81
80,0,30.02,30.50
90,0.01,47.08,47.79
